user_id,card_number_last4,transaction_amount,transaction_type,transaction_date_time,location,is_fraud
387,1938,36.17,Travel,2026-01-21 15:49:02.060024,East Tiffanyview,0
219,3790,32.74,Food,2025-10-21 22:42:01.631360,New Danieltown,0
430,9481,93.88,Bills,2026-02-07 12:45:01.861828,Robertport,0
202,0886,118.36,Entertainment,2025-11-20 20:41:01.865522,North George,0
254,7135,4945.11,Travel,2025-11-20 04:25:02.143406,Palestinian Territory,1
40,0334,24.0,Food,2025-10-04 22:43:01.834272,Danielleborough,0
400,0966,10.82,Food,2026-01-17 20:06:01.538658,North Jeffreychester,0
334,6405,29.57,Food,2025-12-03 21:54:01.955766,Destinyberg,0
135,2312,29.9,Food,2026-01-12 22:54:01.810494,Oliviaport,0
173,2941,87.73,Shopping,2025-10-26 13:02:01.860575,Christinaton,0
191,3141,164.63,Bills,2026-01-16 23:25:01.561518,Port Biancaville,0
143,6056,62.97,Entertainment,2026-01-02 10:07:02.089366,Port Janetstad,0
289,4632,6.91,Food,2025-12-14 10:59:01.993568,Scottchester,0
356,3723,80.03,Bills,2025-11-01 22:43:01.509712,West Traceyberg,0
160,3107,65.33,Shopping,2025-11-26 22:54:01.782206,Sandersshire,0
165,2631,112.87,Entertainment,2026-01-08 18:11:01.847738,Aprilstad,0
44,5414,35.32,Food,2026-01-15 10:11:02.117709,New Seth,0
160,0858,28.31,Food,2025-12-31 14:19:02.099425,Wrightchester,0
353,6398,29.44,Shopping,2026-01-12 17:54:02.099794,Medinaland,0
203,0211,58.82,Shopping,2025-11-09 10:38:01.819553,Johnstonton,0
282,3036,6.05,Food,2025-10-05 11:26:02.102725,North Daniel,0
466,6908,30.77,Food,2026-03-05 23:58:01.786679,Port Abigailbury,0
3,8349,46.31,Food,2025-11-01 21:38:01.965653,Williamshaven,0
429,1775,126.95,Bills,2025-10-23 18:28:01.926502,Hortonhaven,0
46,3879,61.42,Entertainment,2026-01-26 17:49:01.701553,Port Williamland,0
36,4830,25.04,Travel,2026-02-12 13:47:01.708214,Jacksonland,0
161,8074,79.61,Entertainment,2025-11-14 22:03:01.684865,Barnesside,0
181,1597,145.67,Travel,2025-11-29 10:07:02.012728,Lake Margaretmouth,0
311,4639,42.88,Food,2025-11-03 00:13:01.546961,East Christine,0
23,6316,22.96,Food,2025-11-03 17:05:01.880763,Matthewberg,0
315,3970,149.05,Entertainment,2026-01-16 11:55:02.051605,West Gregoryside,0
53,3347,66.06,Travel,2026-02-26 17:19:01.924010,Lake Paul,0
175,1032,197.2,Bills,2026-02-10 14:43:01.722293,Richardburgh,0
195,3821,51.15,Bills,2025-10-04 19:20:01.767378,Maureenshire,0
487,0659,45.24,Food,2026-01-06 16:30:01.939402,New Henry,0
41,1226,71.5,Shopping,2026-02-22 16:17:01.911276,Maciaston,0
80,7129,11.37,Food,2026-01-08 19:22:01.734201,Jonathanstad,0
171,1577,78.37,Shopping,2026-02-11 09:53:01.813499,East Beth,0
481,0870,55.12,Shopping,2025-12-07 11:51:01.998776,Caldwellport,0
166,9351,91.3,Bills,2026-03-01 00:34:01.559723,Jenniferland,0
206,2421,90.9,Shopping,2026-03-21 00:35:01.843722,Holtton,0
32,0583,25.3,Food,2026-02-11 21:06:01.807331,Loganview,0
118,8423,102.94,Travel,2025-11-29 11:47:01.999304,Lake Amanda,0
221,8026,123.36,Bills,2025-12-14 00:24:01.973285,Ballardview,0
399,9748,1742.71,Travel,2025-11-19 07:28:02.147071,Ethiopia,1
282,6711,111.64,Travel,2025-10-10 18:13:02.107178,Lake Johnview,0
244,7545,33.65,Food,2026-03-26 11:44:01.519303,Johnsonmouth,0
175,5089,57.82,Shopping,2026-01-05 22:41:01.998853,Dylanview,0
63,2586,129.96,Travel,2026-02-08 19:30:01.918688,Roseville,0
127,3952,171.22,Bills,2025-10-04 10:37:01.945872,South Amandaside,0
217,1920,133.12,Bills,2025-12-04 00:15:01.636817,Campbellland,0
69,1745,23.2,Food,2025-11-03 16:31:01.916881,East Clairemouth,0
377,3718,107.3,Shopping,2025-10-17 16:42:01.645802,East Valeriestad,0
18,0342,53.37,Travel,2026-03-27 23:07:01.704381,Gainesbury,0
189,7278,11.55,Entertainment,2025-12-20 23:37:01.613883,Port Aaron,0
324,3848,167.61,Bills,2025-12-25 12:25:01.789041,Allenland,0
42,6015,49.54,Food,2025-11-11 19:36:01.962551,North Heather,0
151,9270,33.47,Entertainment,2025-11-16 15:35:02.122106,Lake Clintonland,0
349,9913,22.9,Food,2026-03-27 11:46:01.924658,Alexanderville,0
367,7525,16.45,Food,2026-02-01 20:16:01.924089,North Jesusshire,0
10,0256,82.1,Travel,2026-02-26 19:34:02.097488,East Michaelside,0
105,1415,126.48,Travel,2026-01-07 17:13:01.745608,Ramirezchester,0
319,6959,149.45,Entertainment,2025-10-16 17:52:01.488165,Victoriaport,0
88,1000,142.04,Shopping,2026-02-16 22:57:02.067907,Port Williamtown,0
431,2681,132.51,Shopping,2026-03-18 17:10:01.660736,Melissafort,0
74,4091,4748.32,Shopping,2026-03-17 03:05:02.145020,Somalia,1
296,2218,69.33,Bills,2026-03-09 16:25:01.641860,Josephchester,0
327,5644,43.93,Food,2025-12-08 23:25:01.683568,Littlechester,0
300,5909,33.0,Food,2026-03-11 14:02:01.902777,Smithhaven,0
112,2176,17.66,Food,2026-01-30 18:37:01.806438,New Daniel,0
204,3756,54.48,Bills,2026-02-02 16:32:01.700806,Malonetown,0
493,6730,121.26,Entertainment,2025-10-01 11:35:01.834159,Lake Danielton,0
141,2047,135.57,Shopping,2026-02-09 18:51:02.086994,East Amy,0
398,3293,100.59,Entertainment,2026-02-11 20:40:01.673713,Ellisview,0
269,4967,68.52,Bills,2025-12-12 20:24:01.998088,Port Danielmouth,0
194,2577,2224.52,Shopping,2025-11-14 06:11:02.145351,Japan,1
350,6721,112.13,Shopping,2025-10-14 13:50:01.788519,Port Allen,0
218,2652,145.69,Travel,2025-10-05 19:25:01.866609,East Tanyamouth,0
292,4882,71.48,Bills,2025-11-13 21:44:01.538381,Hannahberg,0
365,1836,15.75,Travel,2025-12-22 10:07:02.014549,Pamelafurt,0
23,3398,1571.92,Travel,2025-10-14 06:25:02.139894,Aruba,1
53,8290,19.16,Food,2026-01-16 17:36:02.083032,Joelville,0
190,6850,55.34,Travel,2025-12-24 19:00:01.958486,Andrewport,0
481,0559,64.9,Bills,2025-12-08 21:54:02.048254,Woodwardside,0
420,0571,68.61,Entertainment,2026-02-12 20:34:01.534744,Jessicaborough,0
304,1037,32.55,Food,2025-09-28 18:12:01.823598,North David,0
236,7571,93.03,Bills,2026-01-13 16:41:02.083156,North David,0
193,9206,17.84,Entertainment,2026-03-12 13:44:01.742960,Victoriachester,0
352,7305,51.74,Bills,2026-03-14 20:04:01.669567,North Janice,0
387,5322,13.76,Food,2025-11-26 13:56:01.875484,West Jenniferfurt,0
2,5254,111.38,Bills,2026-02-28 10:22:01.878490,Lake William,0
42,2671,13.38,Entertainment,2025-11-20 19:03:01.850934,Ryanbury,0
178,2086,199.24,Bills,2026-02-28 17:39:01.642991,North Angela,0
300,2035,113.51,Entertainment,2025-10-11 20:52:01.650057,Josephmouth,0
402,0127,35.43,Food,2025-12-16 20:48:02.126700,Watkinsmouth,0
22,0430,24.53,Entertainment,2025-09-29 14:38:01.702948,South Sarahport,0
153,0717,124.1,Travel,2026-01-28 15:49:02.070816,Port Cassidy,0
6,4923,72.85,Travel,2026-03-10 12:27:01.854082,West Christine,0
376,9619,21.11,Entertainment,2026-03-16 16:58:02.048425,Antonioberg,0
81,0132,36.12,Food,2026-01-11 18:56:02.094747,Rhondaberg,0
462,1171,46.86,Food,2026-01-21 16:07:02.015564,Port Heather,0
396,6984,53.69,Travel,2025-10-09 23:58:01.826020,West Markchester,0
111,2409,28.94,Food,2026-01-02 09:58:01.914325,Sanchezhaven,0
28,1271,83.72,Travel,2026-02-21 10:02:01.854397,West Henry,0
467,1832,95.58,Travel,2026-01-17 23:09:01.811400,Timothyside,0
482,3141,36.63,Food,2026-02-17 10:01:01.945329,Joanneberg,0
127,4420,101.22,Entertainment,2025-10-30 14:15:01.604711,East Markview,0
86,6975,134.12,Travel,2026-03-25 17:51:01.668267,New Laurachester,0
126,9244,43.88,Travel,2026-01-23 13:51:02.040013,Hammondchester,0
470,0241,106.35,Bills,2026-03-21 20:34:01.516320,South Maurice,0
490,3531,77.61,Travel,2026-03-22 15:58:01.511032,West Jeremybury,0
498,7511,46.3,Food,2026-01-03 20:03:01.916676,Jonesberg,0
88,8954,44.58,Food,2025-12-28 15:25:01.921755,Andreahaven,0
365,6109,11.2,Entertainment,2025-09-29 16:54:01.955902,Smithchester,0
389,4182,20.41,Food,2025-10-19 11:57:02.068408,Mcdonaldport,0
65,9825,96.02,Travel,2025-10-21 18:20:01.510601,Maryborough,0
28,8391,113.18,Shopping,2026-02-11 22:46:01.729116,West Michael,0
314,3297,19.02,Travel,2026-02-13 14:19:01.780411,Elizabethmouth,0
391,4671,7.75,Food,2025-11-20 23:26:01.680020,North Joshualand,0
119,8336,105.3,Bills,2026-01-28 11:10:01.634041,South Christopherview,0
372,6590,42.85,Food,2025-12-02 19:42:02.129706,Brianmouth,0
129,6596,26.89,Shopping,2025-11-16 14:46:01.495451,New Samanthabury,0
486,7400,170.74,Bills,2026-01-03 21:09:01.687070,New Julia,0
258,0370,52.64,Shopping,2026-03-04 23:46:01.752756,Smithberg,0
489,6951,14.27,Shopping,2025-11-16 19:56:01.917113,Dawnfurt,0
354,7524,153.26,Bills,2025-11-06 15:28:01.558523,East Edward,0
338,4603,10.36,Food,2026-01-07 16:23:01.588824,Zacharymouth,0
356,0013,18.73,Food,2026-01-26 10:00:01.564093,Murrayfurt,0
10,7247,12.78,Shopping,2025-12-28 22:36:01.954044,East Heather,0
139,4503,2733.82,Shopping,2025-10-04 02:59:02.141974,Belize,1
287,5637,188.69,Bills,2026-02-24 12:53:01.816340,Lake John,0
377,7246,116.4,Bills,2026-01-02 23:49:01.814414,Port Eric,0
153,8361,10.31,Food,2025-11-26 10:17:01.652502,Roberttown,0
135,7132,60.02,Bills,2026-03-15 12:16:01.705651,North Eric,0
476,7804,172.78,Bills,2026-01-01 11:58:01.811273,Port Jessicachester,0
251,1921,141.01,Bills,2026-01-31 11:06:01.833786,North Kimberly,0
104,8226,62.97,Bills,2026-01-11 15:00:02.022680,Parkermouth,0
227,5031,105.12,Shopping,2026-01-17 22:09:01.900971,Josephborough,0
179,5662,110.71,Shopping,2025-10-26 21:18:01.946767,Lisaberg,0
75,7407,12.13,Food,2026-02-25 11:01:01.793375,Vazquezshire,0
454,2679,2495.14,Shopping,2025-10-01 06:24:02.144885,Aruba,1
444,3424,87.22,Travel,2026-03-02 11:36:01.627485,New Sherry,0
1,5721,115.64,Travel,2026-02-28 14:10:01.675953,Yolandaton,0
150,9774,164.29,Bills,2026-02-02 21:34:01.600481,Lake Dawnmouth,0
194,8104,44.85,Food,2026-02-08 13:05:01.753836,New Christopher,0
431,0475,80.46,Travel,2025-12-20 21:08:01.832295,Barnettberg,0
338,2896,170.82,Bills,2025-11-10 22:49:02.068018,East Matthewborough,0
86,5358,10.96,Food,2025-10-13 22:49:01.540709,Chaseberg,0
178,5877,61.97,Bills,2025-12-17 17:18:01.644900,Nathanport,0
243,2068,130.17,Travel,2025-10-23 18:14:01.840920,Castillochester,0
217,9365,198.55,Bills,2026-01-06 15:43:01.623807,West Dawn,0
153,6332,8.42,Food,2026-01-26 21:52:01.912683,East Kellyshire,0
491,0482,136.59,Travel,2026-01-01 00:23:02.131231,Hoshire,0
192,7370,91.11,Shopping,2025-10-06 21:36:01.681290,New Robertmouth,0
116,2135,35.85,Travel,2026-03-15 14:00:01.681109,Victoriamouth,0
187,4661,159.38,Bills,2025-10-11 17:51:01.756702,Lake Robertland,0
116,1780,22.68,Entertainment,2026-02-17 10:19:01.853617,Barberside,0
13,6332,11.73,Travel,2025-11-13 23:00:01.699790,Port Henrystad,0
132,2229,14.62,Travel,2026-01-10 13:01:01.793900,North Stephanie,0
8,1216,154.8,Bills,2025-10-29 13:34:02.049297,North Tiffanyview,0
456,7654,73.57,Bills,2025-10-23 14:52:01.534025,South Jeffreytown,0
301,8821,15.86,Food,2026-02-09 13:48:01.833469,West Matthew,0
269,9935,5.48,Food,2025-11-14 13:31:01.736745,Richardfurt,0
277,6470,82.76,Bills,2026-03-11 11:37:01.577918,Moodyhaven,0
222,7108,31.66,Food,2026-03-08 00:00:01.607530,North Davidmouth,0
165,5158,87.58,Travel,2025-11-10 12:16:01.812652,East Kendra,0
57,1672,63.72,Entertainment,2026-01-31 21:47:01.867517,East Joehaven,0
225,7574,139.24,Entertainment,2025-12-11 19:04:02.138534,West Nicholasside,0
12,1772,49.65,Food,2025-11-16 18:03:01.918451,Lake Tanya,0
78,1447,20.68,Food,2025-10-10 11:24:01.877303,North Anthony,0
44,5659,87.58,Travel,2026-02-01 22:34:01.628642,North Terry,0
139,8357,108.0,Bills,2026-02-27 22:11:01.786457,Leefurt,0
451,9468,12.65,Food,2025-12-17 18:04:01.901459,Mitchelltown,0
145,9690,37.8,Shopping,2025-10-20 18:33:01.660448,West Kellyside,0
261,4807,175.45,Bills,2026-03-26 20:25:02.092955,Christineside,0
451,3573,176.53,Bills,2025-09-30 13:15:01.909418,South Henryburgh,0
434,5854,49.71,Food,2025-10-26 12:20:01.875061,Port Melissa,0
419,5247,110.54,Entertainment,2025-12-13 22:09:01.930262,Port Richard,0
193,0490,117.19,Travel,2026-02-25 16:03:02.019602,South Christineville,0
99,6179,55.84,Bills,2025-12-16 23:19:01.908157,East Shelbymouth,0
267,0763,90.96,Travel,2026-02-18 10:46:02.005210,New Kevin,0
343,9273,50.53,Shopping,2025-10-09 12:55:01.944234,North Matthew,0
38,4695,18.38,Entertainment,2025-10-31 12:43:01.884229,Stephensstad,0
350,7414,30.13,Shopping,2025-10-15 23:32:01.832662,Lake Robert,0
209,0160,148.85,Travel,2026-01-20 21:02:02.092883,Edwardsview,0
291,2283,53.55,Shopping,2026-02-09 17:21:02.018978,Lopezside,0
142,6270,71.58,Bills,2026-03-02 20:23:01.535529,Lake Dylanburgh,0
275,5825,36.54,Food,2025-12-04 12:57:01.551350,North Ronald,0
329,7216,17.65,Food,2025-10-05 22:36:01.999546,East Rogerhaven,0
43,9008,31.59,Travel,2026-03-09 12:26:01.520187,Wangbury,0
23,8334,21.09,Shopping,2025-11-23 23:22:01.967391,Mclaughlinborough,0
465,5857,2978.06,Shopping,2026-02-19 03:34:02.144335,Syrian Arab Republic,1
381,5037,143.12,Entertainment,2026-03-23 11:51:01.495515,Port Lori,0
322,1435,146.95,Bills,2026-01-07 11:59:01.698196,Brandonmouth,0
135,9332,146.24,Entertainment,2025-12-28 21:05:01.539884,Chadview,0
239,5120,76.25,Bills,2025-10-01 19:36:01.700923,Kristinside,0
279,6677,101.04,Travel,2026-03-07 16:56:01.865982,Robertport,0
280,8741,145.81,Travel,2025-11-14 13:10:01.983199,North Larry,0
314,3836,55.45,Travel,2025-10-12 20:31:01.633673,Lake Amanda,0
150,8351,2290.71,Shopping,2026-01-21 07:26:02.142898,Jersey,1
115,1099,102.61,Entertainment,2025-10-04 16:08:02.007451,Port Brittney,0
118,0261,63.89,Travel,2025-10-14 00:30:02.029929,Leonmouth,0
455,1356,67.93,Shopping,2026-01-22 16:05:01.502398,Hayesport,0
453,4108,7.96,Food,2026-01-07 21:25:01.510142,North Ashleyview,0
176,7082,12.3,Travel,2025-10-06 21:36:02.078524,New Alexandra,0
379,2781,61.88,Travel,2026-03-14 16:10:02.049725,Lake Annaside,0
213,6883,126.97,Shopping,2026-02-28 10:48:01.585508,Mckinneymouth,0
252,2362,4137.41,Shopping,2025-10-01 03:50:02.146736,Kenya,1
161,4913,88.73,Entertainment,2026-01-04 18:30:01.939797,West Jamie,0
160,2547,57.58,Entertainment,2025-11-07 20:23:02.044838,New David,0
23,0527,43.53,Entertainment,2025-11-28 15:55:02.074582,Wagnermouth,0
434,5079,132.17,Entertainment,2025-10-12 17:15:01.675290,Port Meganchester,0
25,3807,173.19,Bills,2025-09-28 09:57:01.850659,Hillhaven,0
424,9850,22.42,Food,2025-11-19 19:05:01.843210,West Katherine,0
11,5497,9.88,Food,2025-10-26 22:34:02.050787,Michaelstad,0
121,4288,87.96,Shopping,2025-10-02 15:35:01.599880,Pittmanfurt,0
354,5778,76.61,Shopping,2026-03-14 11:38:02.124664,Bradleymouth,0
372,0303,31.13,Shopping,2025-12-10 10:43:01.804854,Nielsenfort,0
407,4904,42.06,Food,2025-12-05 17:41:01.560682,Johnland,0
330,1281,15.84,Shopping,2026-02-04 16:53:02.037116,Lake Elizabethshire,0
141,1330,39.12,Entertainment,2025-10-31 10:57:01.874575,North Michael,0
68,1914,44.33,Food,2025-09-28 17:06:01.939687,Tommyfurt,0
120,5383,147.1,Travel,2025-09-28 10:40:01.570000,Kelseyside,0
356,6324,27.25,Food,2025-11-09 23:41:01.788766,Trevortown,0
398,0701,80.47,Shopping,2026-01-12 15:35:01.784121,Port Brentstad,0
352,3518,145.6,Shopping,2025-10-17 13:09:01.704925,Bellton,0
233,9882,29.53,Food,2026-01-26 12:19:01.639458,Powellport,0
208,1747,118.64,Travel,2026-03-24 00:14:01.996953,Ibarrastad,0
200,5022,69.99,Bills,2026-03-14 15:04:01.878150,South Thomasberg,0
437,6989,69.67,Bills,2025-12-12 21:24:01.599570,Lake Maria,0
181,4824,75.56,Travel,2026-02-03 15:04:01.923336,Jonesfurt,0
46,5693,118.36,Travel,2025-10-23 00:06:02.114874,East Sandra,0
31,0423,15.65,Shopping,2026-03-17 12:09:01.970853,Brownton,0
250,1382,119.28,Bills,2025-11-02 00:34:02.093847,Wilkinsfort,0
467,7972,115.72,Travel,2026-02-14 21:17:01.544043,West Williamville,0
9,7255,56.37,Travel,2025-10-26 16:16:01.512804,North Joseph,0
234,1565,118.73,Travel,2025-10-24 12:27:01.758608,Kennedyside,0
499,1181,67.3,Shopping,2026-02-16 21:38:01.534080,East Michelle,0
129,2733,199.89,Bills,2026-03-08 13:16:01.605261,Christopherland,0
289,9668,13.27,Food,2026-03-22 11:48:01.959022,East Edwin,0
76,9791,49.92,Food,2025-10-30 12:25:01.716518,New Ryanbury,0
369,9374,100.04,Travel,2025-11-05 20:39:01.753449,Melissaland,0
213,7898,98.12,Travel,2025-11-29 12:27:01.600749,East Julieport,0
182,9227,73.93,Shopping,2026-03-04 17:46:01.752026,North Julia,0
398,4740,134.41,Shopping,2025-12-12 22:43:01.832238,Lake Matthewtown,0
473,5827,3255.12,Travel,2025-11-14 02:55:02.142526,Monaco,1
69,5290,132.13,Entertainment,2025-12-04 19:55:01.818203,Drewberg,0
457,5317,56.38,Bills,2025-12-29 16:13:01.723081,North Kelly,0
417,3761,56.88,Entertainment,2025-10-04 09:43:01.742857,Alyssaport,0
346,6463,43.65,Shopping,2025-11-03 23:55:01.881163,Port Tamarahaven,0
263,7998,12.85,Food,2025-11-05 15:20:01.651124,Port Gina,0
116,6823,50.66,Bills,2025-11-05 11:51:02.075888,Frankstad,0
123,2922,25.9,Entertainment,2026-01-28 21:27:01.582876,Kevinborough,0
159,6856,39.48,Travel,2026-01-24 12:24:01.716353,South Laura,0
190,6374,136.37,Shopping,2026-03-16 10:40:02.138644,Gomezside,0
239,0728,25.22,Shopping,2025-10-27 22:08:01.936624,Matthewport,0
497,1795,140.44,Entertainment,2026-01-27 15:05:01.583505,East Kevin,0
244,4102,98.17,Bills,2025-12-03 15:45:01.801368,New Donnaland,0
453,2170,91.19,Entertainment,2025-10-11 11:03:01.844936,Lishire,0
101,1456,135.71,Travel,2026-01-06 11:20:01.699364,New Bradleytown,0
419,4408,89.77,Shopping,2025-11-27 15:30:02.066959,Catherinefurt,0
226,0994,148.57,Bills,2025-12-19 22:51:02.062716,Collinshaven,0
381,6228,3571.33,Travel,2025-10-13 03:11:02.146363,Suriname,1
408,1561,7.28,Food,2026-02-25 17:21:01.761658,Lake Kevinmouth,0
156,7009,28.41,Travel,2026-02-27 10:04:01.811165,Thomasside,0
339,5836,111.55,Entertainment,2026-01-19 14:38:01.880163,Dennishaven,0
413,9624,2597.47,Shopping,2025-12-07 03:40:02.142570,Heard Island and McDonald Islands,1
313,4754,3854.83,Transfer,2025-11-06 05:40:02.141195,Benin,1
139,3315,25.81,Entertainment,2025-10-26 13:39:02.031025,Michaelburgh,0
162,9000,12.5,Food,2025-12-23 00:08:01.647335,Lake Danielshire,0
146,9279,85.1,Bills,2025-11-28 14:30:01.506722,Port Jesusstad,0
242,4034,9.77,Food,2025-10-11 11:06:01.572639,West Dale,0
349,1473,110.37,Shopping,2026-01-31 11:36:01.515806,Millerfort,0
252,6709,100.66,Shopping,2025-10-03 13:49:01.634165,Millerside,0
395,5248,128.33,Travel,2026-03-09 10:43:01.628461,Port Terry,0
21,0423,48.83,Travel,2025-12-08 17:20:01.706796,North Albertport,0
403,7917,140.6,Entertainment,2025-11-09 19:06:02.003133,Sherryfurt,0
2,8023,174.56,Bills,2025-10-01 22:41:01.857188,Port Jeff,0
306,7709,48.63,Entertainment,2026-02-10 00:37:01.877735,New Michael,0
263,5801,146.26,Travel,2026-03-20 13:20:01.597498,Lake Markview,0
106,5284,31.99,Food,2025-12-31 22:58:01.711632,Smallhaven,0
18,7231,74.52,Shopping,2025-10-22 18:21:01.557309,Cooperside,0
206,2890,61.32,Bills,2026-03-16 18:00:01.934575,Nguyenbury,0
310,2405,142.08,Entertainment,2026-03-17 15:04:01.585154,Michaelchester,0
132,0312,41.36,Travel,2026-03-03 16:01:01.920317,Garnerland,0
382,9173,91.35,Travel,2026-02-19 16:34:01.586228,Lake Angelastad,0
57,0983,25.09,Shopping,2026-02-19 13:38:01.958054,Lake Kristin,0
225,1026,109.27,Bills,2026-03-16 10:09:01.545882,New Seanhaven,0
294,7049,19.18,Food,2026-03-17 20:43:01.761894,Butlerfort,0
417,8802,123.2,Entertainment,2025-12-09 21:29:01.836187,Porterville,0
464,4458,191.8,Bills,2025-12-02 12:53:01.803072,East Williamborough,0
327,9010,95.25,Bills,2025-10-26 20:03:01.877190,Tonytown,0
417,4841,47.36,Food,2026-02-07 11:16:01.939088,Ortizfort,0
211,2564,128.35,Shopping,2025-10-17 20:21:01.939575,South Morgan,0
451,3752,21.28,Shopping,2026-01-16 11:08:01.965165,Bryantside,0
350,2778,15.22,Food,2026-02-27 18:27:01.767127,Connerfurt,0
61,5803,78.75,Entertainment,2026-01-21 14:33:01.704701,Richmondhaven,0
58,6090,37.62,Food,2026-01-22 23:35:01.700530,Port Briantown,0
77,4866,46.98,Food,2026-03-17 15:56:01.578134,Shaneton,0
186,8997,49.14,Food,2025-12-31 18:36:01.501208,Moranstad,0
347,0073,118.4,Bills,2026-03-25 18:34:02.038307,Atkinsonton,0
277,7067,132.73,Shopping,2026-02-06 12:13:01.746513,Erinfort,0
65,2617,51.48,Bills,2025-09-29 23:43:01.848122,Cliffordside,0
147,4781,105.58,Bills,2026-01-26 22:16:01.796559,Fordberg,0
85,6487,4714.07,Travel,2026-01-20 07:32:02.143230,Indonesia,1
458,3710,18.58,Shopping,2025-12-09 17:58:02.052708,Sloanstad,0
12,7802,62.88,Travel,2026-01-05 15:15:01.590711,East Danielle,0
196,1309,66.79,Bills,2025-10-20 19:05:02.027245,Ronaldburgh,0
123,5522,1318.92,Travel,2025-12-20 03:15:02.144201,Cote d'Ivoire,1
18,5087,96.99,Bills,2026-03-24 11:29:01.608027,South Sheila,0
392,4845,40.1,Food,2026-03-17 20:40:01.730358,South Dave,0
58,7662,47.53,Food,2026-03-23 23:48:01.489890,South Jennifermouth,0
262,6593,22.33,Food,2026-02-22 12:55:01.490877,Port Crystalmouth,0
462,2357,89.99,Bills,2026-03-25 17:16:01.590603,East Richardmouth,0
136,3846,67.98,Entertainment,2025-12-04 15:38:02.042907,Elizabethborough,0
286,2679,77.27,Bills,2025-10-03 15:33:01.803173,South Keithview,0
408,8856,45.45,Food,2025-11-20 19:54:01.490068,South Michaelchester,0
295,1559,5.35,Food,2025-09-29 20:45:02.059088,Maureenside,0
249,0932,103.22,Entertainment,2026-02-10 23:14:01.583776,Fergusonview,0
465,0647,34.61,Food,2026-02-21 20:03:01.785753,Thompsonchester,0
227,1233,134.48,Bills,2025-11-29 22:00:01.551130,East Robertchester,0
8,2147,103.96,Entertainment,2026-01-15 22:22:02.112779,Powersmouth,0
485,0420,147.82,Entertainment,2026-01-24 21:57:01.506841,West Jamesview,0
445,5131,18.06,Food,2025-11-05 20:08:01.637850,Richardshire,0
87,8976,87.04,Shopping,2026-03-11 19:22:01.894620,East Johnberg,0
336,4528,27.04,Food,2025-12-13 12:16:01.953140,North Ericport,0
291,6076,24.57,Food,2025-10-31 12:57:01.530462,Combsland,0
61,5726,101.01,Entertainment,2026-02-26 15:48:01.624416,North Margaret,0
452,7759,51.59,Travel,2026-03-09 13:51:01.935716,West Garymouth,0
